com.samsung.health.skin_temperature,6307003,4
create_sh_ver,stat_m1,stat_m2,baseline,start_time,binning_data,stat_n,tag_id,modify_sh_ver,lower_bound,update_time,create_time,client_data_id,upper_bound,max,min,client_data_ver,temperature,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
,33.94257,1152.2998,33.779377,2025-11-29 04:03:00.000,889e71a2-c075-41ba-94c5-a1eeee7de43a.binning_data.json,295,31301,,32.49497,2025-11-29 09:34:18.765,2025-11-29 09:34:18.765,,34.751976,34.943848,33.033417,,33.94257,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-29 09:12:00.000,889e71a2-c075-41ba-94c5-a1eeee7de43a,
,33.529312,1124.5165,33.842358,2025-12-01 02:45:00.000,3380d064-9736-4f83-a2b7-caf8f6cc5a4a.binning_data.json,406,31301,,32.39665,2025-12-01 10:10:25.526,2025-12-01 10:10:25.526,,34.957603,34.787918,32.27556,,33.529312,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-12-01 09:49:00.000,3380d064-9736-4f83-a2b7-caf8f6cc5a4a,
,33.667717,1133.6952,33.730927,2025-12-02 04:14:00.000,d99b9f75-6ad4-40da-955d-a3661ca0f5d5.binning_data.json,195,31301,,32.41136,2025-12-02 08:06:54.602,2025-12-02 08:06:54.602,,34.875248,34.52861,33.00507,,33.667717,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-12-02 07:44:00.000,d99b9f75-6ad4-40da-955d-a3661ca0f5d5,
,33.06771,1093.5742,33.725315,2025-12-02 08:09:00.000,04d309c6-e332-4a50-8e72-25072470d0d6.binning_data.json,85,31301,,32.51031,2025-12-02 09:48:25.748,2025-12-02 09:48:25.748,,34.817474,33.763687,32.535698,,33.06771,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-12-02 09:48:00.000,04d309c6-e332-4a50-8e72-25072470d0d6,
,33.544495,1125.3888,33.672096,2025-12-03 02:25:00.000,d98d9e43-5469-4e69-b16b-e04c7d01d272.binning_data.json,424,31301,,32.737423,2025-12-03 10:07:27.257,2025-12-03 10:07:27.257,,34.642773,34.713497,32.8825,,33.544495,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-12-03 09:45:00.000,d98d9e43-5469-4e69-b16b-e04c7d01d272,
,33.032406,1091.4111,33.662697,2025-12-04 03:07:00.000,9018ac5f-08ab-4f53-a7b1-90b29077a0cc.binning_data.json,363,31301,,32.90553,2025-12-04 09:49:35.896,2025-12-04 09:49:35.896,,34.60438,34.0865,31.76575,,33.032406,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-12-04 09:34:00.000,9018ac5f-08ab-4f53-a7b1-90b29077a0cc,
,33.248375,1105.5,33.56571,2025-12-04 09:58:00.000,1cd43b54-7464-45bf-9d08-6cce889f29f4.binning_data.json,28,31301,,32.742702,2025-12-04 11:05:19.028,2025-12-04 11:05:19.028,,34.5304,33.541435,32.78739,,33.248375,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-12-04 10:42:00.000,1cd43b54-7464-45bf-9d08-6cce889f29f4,
,33.22371,1103.8861,33.489143,2025-12-06 04:24:00.000,e3d00768-fac3-4b0e-99f9-153a7c6471bd.binning_data.json,70,31301,,32.697243,2025-12-06 06:15:41.400,2025-12-06 06:15:41.400,,34.376045,33.562397,32.421734,,33.22371,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-12-06 05:48:00.000,e3d00768-fac3-4b0e-99f9-153a7c6471bd,
,33.92121,1151.0725,33.479187,2025-12-06 06:12:00.000,f997565b-4454-418f-89b2-f3878f0d275e.binning_data.json,301,31301,,32.651325,2025-12-06 11:46:47.148,2025-12-06 11:46:47.148,,34.240437,35.487576,32.938828,,33.92121,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-12-06 11:23:00.000,f997565b-4454-418f-89b2-f3878f0d275e,
,33.658092,1133.1018,33.477238,2025-12-07 06:20:00.000,0c71674b-195d-4d0e-be00-ee8dfa397457.binning_data.json,225,31301,,32.640285,2025-12-07 10:40:18.023,2025-12-07 10:40:18.023,,34.240437,34.457623,32.33975,,33.658092,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-12-07 10:15:00.000,0c71674b-195d-4d0e-be00-ee8dfa397457,
,34.21816,1171.0685,33.496643,2025-12-08 04:45:00.000,4e722047-27e5-4be8-9785-dd985c6798c7.binning_data.json,344,31301,,32.597355,2025-12-08 11:08:38.606,2025-12-08 11:08:38.606,,34.27146,35.16585,33.311066,,34.21816,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-12-08 10:46:00.000,4e722047-27e5-4be8-9785-dd985c6798c7,
,34.30651,1177.0703,33.61209,2025-12-09 05:35:00.000,bfbd11ab-ec04-495a-96c2-d878503befbd.binning_data.json,188,31301,,32.701565,2025-12-09 09:08:23.321,2025-12-09 09:08:23.321,,34.32545,34.884617,33.466507,,34.30651,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-12-09 09:08:00.000,bfbd11ab-ec04-495a-96c2-d878503befbd,
