com.samsung.health.floors_climbed,6307003,7
start_time,custom,update_time,create_time,client_data_id,client_data_ver,floor,raw_data,time_offset,deviceuuid,pkg_name,end_time,datauuid
2025-12-08 03:00:00.406,,2025-12-08 11:57:19.710,2025-12-08 11:57:19.710,,,1.0,e1f8a317-c5ed-4bb5-b6ae-151126430313.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-12-08 11:57:00.001,e1f8a317-c5ed-4bb5-b6ae-151126430313,
2025-12-08 11:56:59.263,,2025-12-08 16:35:37.224,2025-12-08 16:35:37.224,,,1.0,5cf6e991-1958-4051-8e1e-25e38a95269e.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-12-08 16:31:55.000,5cf6e991-1958-4051-8e1e-25e38a95269e,
2025-12-09 03:00:00.383,,2025-12-09 13:09:59.306,2025-12-09 13:09:59.306,,,1.0,d3ef76f0-a093-4b07-97c2-82fdd07433b7.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-12-09 13:05:18.000,d3ef76f0-a093-4b07-97c2-82fdd07433b7,
2025-12-10 03:00:00.000,,2025-12-10 11:47:06.107,2025-12-10 11:47:06.107,,,1.0,9765ec98-a018-4e67-a571-1490fa1d5490.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-12-10 11:46:59.000,9765ec98-a018-4e67-a571-1490fa1d5490,
2025-12-10 11:46:59.001,,2025-12-10 13:26:16.700,2025-12-10 13:26:16.700,,,1.0,152da68b-9800-41a3-8ed3-549e8e93717b.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-12-10 13:25:27.000,152da68b-9800-41a3-8ed3-549e8e93717b,
2025-12-10 13:25:26.999,,2025-12-10 17:20:24.302,2025-12-10 17:20:24.302,,,1.0,96bb8d9f-8953-46f0-8ae3-6dc1cf3e67fa.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-12-10 17:18:50.000,96bb8d9f-8953-46f0-8ae3-6dc1cf3e67fa,
2025-12-10 17:18:50.001,,2025-12-10 17:43:04.390,2025-12-10 17:43:04.390,,,1.0,e8883363-b3a1-4c51-aba9-7ed406c7f72c.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-12-10 17:31:26.000,e8883363-b3a1-4c51-aba9-7ed406c7f72c,
2025-12-10 17:31:26.000,,2025-12-10 17:57:58.637,2025-12-10 17:57:58.637,,,1.0,9c1f07b6-e339-48c6-ab9e-9bfda7409bda.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-12-10 17:54:13.001,9c1f07b6-e339-48c6-ab9e-9bfda7409bda,
2025-12-10 17:54:13.001,,2025-12-10 18:29:24.445,2025-12-10 18:29:24.445,,,1.0,c8c292e5-a108-4498-8b81-b3f77f9845c0.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-12-10 18:29:11.000,c8c292e5-a108-4498-8b81-b3f77f9845c0,
2025-12-11 03:00:00.000,,2025-12-11 16:37:59.643,2025-12-11 16:37:59.643,,,1.0,3859df83-2ca2-45eb-9aa8-ebf052b8dcfb.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-12-11 16:36:28.000,3859df83-2ca2-45eb-9aa8-ebf052b8dcfb,
2025-12-11 16:36:28.001,,2025-12-11 18:14:23.472,2025-12-11 18:14:23.472,,,1.0,c1b0e58c-786a-4a7f-b6bc-ba48087100f8.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-12-11 18:13:03.001,c1b0e58c-786a-4a7f-b6bc-ba48087100f8,
2025-12-11 18:13:03.001,,2025-12-11 19:00:35.474,2025-12-11 19:00:35.474,,,1.0,4fb72f9b-dab4-4c34-93ad-84021f704b4b.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-12-11 18:59:56.001,4fb72f9b-dab4-4c34-93ad-84021f704b4b,
2025-12-11 18:59:56.001,,2025-12-11 19:03:01.263,2025-12-11 19:03:01.263,,,1.0,dd4aa685-fe71-45ed-be2d-edc3812ba87e.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-12-11 19:01:02.000,dd4aa685-fe71-45ed-be2d-edc3812ba87e,
2025-12-12 03:00:00.000,,2025-12-12 10:15:20.956,2025-12-12 10:15:20.956,,,1.0,c95480bc-8c4a-41be-b939-e7cd9448ade5.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-12-12 10:14:24.999,c95480bc-8c4a-41be-b939-e7cd9448ade5,
2025-12-12 10:14:25.000,,2025-12-12 11:07:54.810,2025-12-12 11:07:54.810,,,1.0,0e58149d-0686-4842-8299-25c157e92d82.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-12-12 11:05:19.001,0e58149d-0686-4842-8299-25c157e92d82,
2025-12-12 11:05:19.001,,2025-12-12 11:27:37.155,2025-12-12 11:27:37.155,,,1.0,a1e69859-6845-4b31-9a38-2ac35de2487b.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-12-12 11:27:14.001,a1e69859-6845-4b31-9a38-2ac35de2487b,
2025-12-12 11:27:14.001,,2025-12-12 13:11:57.643,2025-12-12 13:11:57.643,,,1.0,6ca0b226-0789-4e54-a126-bf582b719072.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-12-12 13:10:15.001,6ca0b226-0789-4e54-a126-bf582b719072,
2025-12-15 03:00:00.000,,2025-12-15 22:43:12.406,2025-12-15 22:43:12.406,,,1.0,5ab5bce9-e742-4ecb-9d63-037d35c3a68d.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-12-15 22:41:56.000,5ab5bce9-e742-4ecb-9d63-037d35c3a68d,
2025-12-17 03:00:00.477,,2025-12-17 11:15:00.115,2025-12-17 11:15:00.115,,,1.0,64634eb3-25a7-49bf-bfb1-b02c2884946b.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-12-17 11:13:43.000,64634eb3-25a7-49bf-bfb1-b02c2884946b,
