com.samsung.health.respiratory_rate,6307003,2
create_sh_ver,start_time,custom,binning_data,modify_sh_ver,average,lower_limit,update_time,create_time,client_data_id,upper_limit,client_data_ver,is_outlier,pplib_version,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
63060051,2025-12-07 06:20:00.000,,9046f407-6041-478a-a842-21f9566ba35c.binning_data.json,63060051,11.380757,11.150379,2025-12-07 10:40:17.697,2025-12-07 10:40:17.697,,11.524481,,0,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-12-07 10:15:00.000,9046f407-6041-478a-a842-21f9566ba35c,
63060051,2025-12-08 04:45:00.000,,2dafa13c-51fd-407b-a2f8-9b8b7565332a.binning_data.json,63060051,11.461852,11.150379,2025-12-08 11:08:38.879,2025-12-08 11:08:38.879,,11.524481,,0,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-12-08 10:46:00.000,2dafa13c-51fd-407b-a2f8-9b8b7565332a,
63060051,2025-12-02 08:09:00.000,,134d019a-74e5-4355-826c-2404e8e5f005.binning_data.json,63060051,12.315172,11.150379,2025-12-08 16:35:20.947,2025-12-08 16:35:20.947,,11.524481,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-12-02 09:48:00.000,134d019a-74e5-4355-826c-2404e8e5f005,
63060051,2025-12-09 05:35:00.000,,12d2632b-649f-478a-8cd3-b67ad1d5f9d0.binning_data.json,63060051,11.897241,11.182315,2025-12-09 09:08:23.320,2025-12-09 09:08:23.320,,11.388217,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-12-09 09:08:00.000,12d2632b-649f-478a-8cd3-b67ad1d5f9d0,
63060051,2025-12-09 09:18:00.000,,a2303d5d-4bd0-4cea-9a51-4a13fd68fe9c.binning_data.json,63060051,12.005212,11.182315,2025-12-09 10:28:34.312,2025-12-09 10:28:34.312,,11.388217,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-12-09 10:07:00.000,a2303d5d-4bd0-4cea-9a51-4a13fd68fe9c,
63060051,2025-12-10 02:39:00.000,,93b86c33-e4c5-4ebb-ab87-01a9ff24291d.binning_data.json,63060051,12.711924,11.182315,2025-12-10 04:07:37.732,2025-12-10 04:07:37.732,,11.388217,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-12-10 03:40:00.000,93b86c33-e4c5-4ebb-ab87-01a9ff24291d,
63060051,2025-12-10 04:10:00.000,,7f269e2d-0b6d-4ac4-b4d6-7ce516655443.binning_data.json,63060051,11.188954,11.182315,2025-12-10 09:04:10.039,2025-12-10 09:04:10.039,,11.388217,,0,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-12-10 08:41:00.000,7f269e2d-0b6d-4ac4-b4d6-7ce516655443,
63060051,2025-12-11 03:28:00.000,,f413396e-b114-47ca-9112-deb30ed93a68.binning_data.json,63060051,11.069454,11.197881,2025-12-11 10:42:30.328,2025-12-11 10:42:30.328,,11.407708,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-12-11 10:18:00.000,f413396e-b114-47ca-9112-deb30ed93a68,
63060051,2025-12-12 04:17:00.000,,aad95941-1a3c-4643-bc53-3b4600b17167.binning_data.json,63060051,11.278154,11.249544,2025-12-12 10:31:54.343,2025-12-12 10:31:54.343,,11.389299,,0,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-12-12 10:06:00.000,aad95941-1a3c-4643-bc53-3b4600b17167,
63060051,2025-12-13 04:05:00.000,,ad04d9be-4d03-49d9-9e8c-79cf2514a441.binning_data.json,63060051,11.72295,11.249544,2025-12-13 06:38:12.099,2025-12-13 06:38:12.099,,11.389299,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-12-13 06:08:00.000,ad04d9be-4d03-49d9-9e8c-79cf2514a441,
